                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4945,                 3.4879,                 1.9081,                0.00982,                0.25594,                0.07175,                0.03515,                 2.5312,                 3.3934,                 1.8218,             0.00036497,             0.00036497,             0.00036497
                      2,                 2.3095,                 2.8481,                 1.7272,                0.59246,                0.04022,                0.04968,                0.02772,                 2.6298,                  3.208,                 1.9913,             0.00072802,             0.00072802,             0.00072802
                      3,                 2.2664,                 2.6887,                 1.7017,                0.68956,                0.11289,                0.12675,                0.09309,                 2.4332,                 2.6842,                 1.8218,              0.0010837,              0.0010837,              0.0010837
                      4,                   2.16,                 2.5659,                 1.6437,                0.76647,                0.10637,                0.13238,                0.09028,                 2.4198,                 2.4995,                 1.7811,               0.001078,               0.001078,               0.001078
                      5,                 2.1269,                 2.4379,                 1.6264,                0.66771,                0.15665,                0.14839,                0.09905,                 2.3481,                    2.4,                 1.6498,               0.001078,               0.001078,               0.001078
                      6,                 2.0819,                  2.359,                 1.5989,                0.54647,                0.14863,                0.14277,                0.10351,                 2.4235,                 2.4339,                 1.6895,               0.001067,               0.001067,               0.001067
                      7,                 2.0631,                  2.287,                 1.5884,                0.27746,                 0.1923,                0.14995,                0.09538,                 2.2345,                 2.1969,                  1.612,               0.001056,               0.001056,               0.001056
                      8,                 1.9976,                 2.2488,                 1.5576,                 0.3582,                0.18845,                0.17257,                0.11751,                 2.2538,                 2.3009,                 1.6739,               0.001045,               0.001045,               0.001045
                      9,                 1.9791,                 2.2198,                 1.5369,                 0.3531,                0.17114,                0.16474,                0.11203,                 2.2496,                 2.3432,                 1.6269,               0.001034,               0.001034,               0.001034
                     10,                 1.9157,                 2.1434,                 1.5236,                0.46185,                0.19853,                0.18636,                0.13416,                 2.1133,                 2.2039,                 1.5973,               0.001023,               0.001023,               0.001023
                     11,                 1.8863,                 2.0935,                 1.4863,                0.49219,                0.19822,                0.18916,                0.14335,                 2.1088,                 2.1307,                 1.5838,               0.001012,               0.001012,               0.001012
                     12,                 1.8378,                 2.0319,                 1.4755,                0.40363,                0.19981,                 0.1765,                0.13186,                 2.1186,                 2.1907,                 1.5587,               0.001001,               0.001001,               0.001001
                     13,                  1.845,                  2.048,                 1.4808,                0.38729,                0.21152,                0.19287,                0.14321,                 2.1144,                 2.0723,                 1.5381,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.8008,                 1.9916,                 1.4508,                0.34807,                 0.2203,                0.19206,                0.13946,                 2.0428,                 2.0765,                 1.5675,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.7742,                 1.9504,                 1.4497,                0.39544,                0.21692,                0.20025,                0.15076,                 2.0547,                 2.0886,                  1.538,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.7997,                 1.9755,                 1.4432,                0.39193,                0.21806,                0.19505,                 0.1463,                 2.0306,                 2.0442,                 1.5389,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.7493,                 1.9448,                 1.4299,                0.32158,                0.21275,                 0.1841,                0.12751,                 1.9796,                 1.9802,                 1.4929,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.6883,                 1.8594,                 1.4143,                0.54821,                0.22746,                 0.2169,                0.15313,                 1.9622,                 1.8659,                 1.5138,             0.00093502,             0.00093502,             0.00093502
                     19,                  1.729,                  1.869,                 1.4092,                0.36381,                0.21763,                 0.2078,                0.15094,                  1.976,                 1.9761,                 1.5087,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.6913,                 1.8776,                 1.4092,                0.57144,                0.22164,                0.20715,                0.14366,                 1.9474,                 1.9221,                 1.4955,             0.00091302,             0.00091302,             0.00091302
                     21,                  1.672,                  1.823,                  1.388,                 0.4889,                0.22622,                0.20595,                0.15233,                 1.9211,                 1.9021,                 1.4714,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.7076,                 1.8644,                 1.3954,                0.72038,                0.21935,                0.20464,                0.15441,                 1.9409,                 1.9414,                 1.4915,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.6613,                 1.8163,                 1.3859,                0.57892,                0.21855,                0.19529,                 0.1357,                 1.9241,                 1.8736,                  1.465,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.6358,                 1.7841,                 1.3648,                0.36089,                 0.2356,                0.21382,                0.15597,                 1.8951,                 1.8916,                 1.4389,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.6475,                 1.7976,                 1.3736,                0.55963,                 0.2258,                0.20325,                0.14857,                 1.8989,                 1.9275,                 1.4831,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.6335,                 1.7752,                 1.3604,                0.52025,                0.24481,                0.20498,                  0.155,                 1.8855,                 1.9074,                 1.4405,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.5659,                 1.7132,                 1.3301,                0.51898,                0.24774,                0.21187,                0.15229,                 1.8992,                 1.8352,                 1.4511,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.5531,                 1.6906,                 1.3208,                0.52276,                0.23976,                0.20393,                0.15249,                 1.8821,                 1.8691,                 1.4292,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.5618,                 1.7103,                 1.3366,                0.55585,                0.23922,                0.20225,                0.14946,                 1.8722,                 1.8559,                 1.4448,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.5658,                 1.7055,                 1.3357,                0.55602,                0.25522,                0.22613,                0.15794,                 1.8823,                 1.7931,                   1.42,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.5609,                 1.6967,                 1.3217,                 0.6117,                0.23959,                0.22349,                0.16079,                 1.8758,                 1.8243,                 1.4277,             0.00079203,             0.00079203,             0.00079203
                     32,                  1.553,                 1.7088,                 1.3209,                0.59856,                0.24104,                0.22371,                0.15842,                  1.849,                 1.7821,                 1.4392,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.5646,                 1.6922,                 1.3247,                0.59285,                0.23158,                0.21783,                 0.1575,                 1.8154,                 1.7953,                 1.4217,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.5361,                 1.6687,                 1.3143,                0.52101,                0.24937,                0.20475,                 0.1449,                 1.8375,                 1.8485,                 1.4305,             0.00075904,             0.00075904,             0.00075904
