                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4117,                 1.5066,                  1.267,                0.52561,                0.27261,                0.22952,                 0.1648,                 1.7918,                 1.6968,                 1.4348,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.4283,                 1.5317,                 1.2764,                0.57655,                0.25511,                0.22389,                0.15473,                 1.8344,                 1.7794,                 1.4404,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.3924,                 1.4953,                 1.2598,                 0.5576,                0.24236,                0.21824,                0.16495,                 1.7427,                 1.7807,                 1.4066,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.3641,                 1.4593,                 1.2539,                 0.3777,                0.25524,                0.22703,                0.16706,                 1.7644,                 1.7433,                 1.4129,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.3602,                 1.4433,                 1.2425,                0.56681,                0.24839,                0.20808,                0.14752,                 1.7337,                 1.7522,                 1.4043,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.3631,                 1.4257,                 1.2414,                0.61715,                 0.2655,                0.23015,                0.15946,                 1.7695,                 1.6453,                 1.4316,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.3486,                 1.4517,                 1.2413,                0.56351,                0.25391,                0.21535,                0.15374,                 1.7359,                 1.7272,                 1.4085,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.3555,                 1.4239,                 1.2378,                0.58681,                0.25907,                0.23226,                0.16035,                 1.7784,                 1.6782,                 1.4328,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.3439,                 1.4225,                 1.2236,                0.55503,                0.26579,                0.21731,                0.14745,                 1.7296,                 1.6843,                 1.3988,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.3422,                 1.4212,                 1.2326,                0.51438,                0.25543,                0.20896,                0.14826,                 1.7954,                  1.802,                 1.4311,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.3558,                 1.4091,                 1.2322,                0.60722,                0.22416,                0.20859,                0.14203,                 1.7352,                 1.7425,                 1.4062,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.2694,                 1.3683,                 1.2052,                0.55176,                0.25559,                0.21577,                0.14849,                  1.779,                 1.7724,                 1.4268,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.3205,                 1.3827,                 1.2201,                0.54833,                0.25694,                0.20665,                0.14058,                  1.787,                 1.8339,                 1.4408,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.2683,                 1.3689,                 1.2008,                0.56865,                0.24322,                0.21926,                0.15284,                 1.7625,                 1.7712,                  1.441,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.3008,                 1.3504,                 1.2067,                 0.5747,                0.24691,                0.20257,                0.14475,                 1.7637,                 1.7963,                  1.415,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.2599,                 1.3173,                 1.1934,                0.56725,                0.24219,                0.20725,                0.14639,                 1.7799,                 1.7336,                 1.4157,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2447,                 1.3126,                 1.1853,                0.52306,                0.25935,                0.20712,                0.14761,                 1.7557,                 1.7712,                  1.421,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.2384,                 1.3064,                 1.1789,                0.53861,                0.26269,                 0.2145,                0.15328,                 1.7197,                 1.7452,                 1.4053,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.2417,                 1.2842,                 1.1738,                0.55073,                0.24742,                0.20663,                0.13959,                 1.7443,                  1.745,                 1.4156,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.2532,                 1.3313,                 1.1909,                0.48972,                0.25736,                0.19684,                 0.1401,                 1.7361,                 1.8379,                 1.4114,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.2523,                 1.3124,                 1.1824,                  0.494,                  0.252,                0.19635,                0.14143,                 1.7627,                 1.8505,                 1.4355,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2257,                 1.2789,                 1.1679,                0.57531,                0.25098,                0.21072,                 0.1462,                 1.7456,                 1.7796,                 1.4177,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.2354,                 1.2855,                  1.162,                 0.5568,                 0.2542,                0.20969,                0.14383,                 1.7528,                 1.7865,                 1.4283,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.1902,                 1.2276,                 1.1463,                0.56418,                0.24121,                0.20296,                0.14299,                  1.722,                  1.815,                 1.4044,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.2005,                 1.2297,                 1.1532,                 0.3589,                0.26544,                0.22283,                0.15356,                 1.7385,                 1.7091,                 1.4056,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.2234,                  1.266,                 1.1641,                0.55729,                0.25676,                0.20329,                0.14007,                 1.7192,                 1.8019,                 1.3996,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.1905,                 1.2405,                 1.1619,                0.55315,                0.25635,                0.21321,                0.15233,                 1.7283,                 1.8674,                 1.4003,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.1984,                 1.2362,                 1.1482,                 0.5627,                 0.2474,                 0.2066,                0.14504,                 1.7335,                 1.8668,                 1.4023,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.2103,                 1.2437,                 1.1515,                0.57234,                0.24896,                0.20218,                0.14141,                 1.7506,                 1.8905,                 1.4063,             0.00044007,             0.00044007,             0.00044007
                     64,                  1.216,                 1.2461,                 1.1593,                 0.5593,                0.24402,                0.20665,                0.14639,                 1.7638,                 1.9171,                 1.4211,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.1991,                 1.2216,                 1.1507,                0.33905,                0.25141,                0.19796,                 0.1394,                 1.7378,                 1.9116,                 1.4129,             0.00041807,             0.00041807,             0.00041807
                     66,                 1.1667,                 1.2206,                 1.1303,                0.52056,                0.26209,                0.20523,                0.14363,                 1.7036,                 1.8647,                 1.4084,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.1407,                   1.17,                 1.1239,                 0.5313,                0.24859,                0.20618,                0.14506,                  1.734,                 1.8688,                 1.4139,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.1542,                 1.1802,                 1.1359,                0.53551,                  0.249,                0.20996,                0.14995,                 1.7159,                 1.8537,                 1.4108,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.1492,                 1.1679,                 1.1299,                0.55466,                0.25213,                0.20309,                0.14628,                 1.7021,                 1.9244,                 1.3938,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.1396,                 1.1841,                 1.1245,                0.53463,                0.25141,                0.18926,                0.13686,                 1.7313,                 1.9831,                 1.4054,             0.00036307,             0.00036307,             0.00036307
                     71,                   1.14,                 1.1555,                 1.1269,                0.53844,                0.25899,                0.20312,                0.14147,                 1.7084,                 1.9049,                 1.3983,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.1489,                 1.1641,                  1.126,                0.32993,                0.25281,                0.19961,                0.14029,                  1.725,                 1.9744,                 1.4051,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.1252,                 1.1302,                 1.1124,                0.53458,                0.25935,                0.20798,                0.13764,                 1.7179,                 1.8802,                 1.4155,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.1155,                 1.1267,                 1.1102,                0.52942,                0.26215,                0.20345,                0.14099,                 1.7068,                 1.9251,                 1.3955,             0.00031908,             0.00031908,             0.00031908
